buy_kospi,buy_kosdaq,take_profit_ret,stop_loss,max_holding_days,rank_mode,total_ret,mdd,win_rate,trade_cnt,usable,mdd_abs,win_rate_norm,total_ret_norm,mdd_abs_norm,score
-0.05,-0.25,0.02,-0.12,8,amount,0.46994,-0.09237774922530417,0.7846153846153846,65,True,0.09237774922530417,1.0,0.6294543145125143,0.015055310149350071,0.8487706637751358
-0.05,-0.2,0.02,-0.12,8,amount,0.46303000000000005,-0.0927938757433886,0.7846153846153846,65,True,0.0927938757433886,1.0,0.6207297102446551,0.01916750449896762,0.8444583831980685
-0.05,-0.25,0.02,-0.12,8,score,0.39747,-0.09085425270289083,0.7777777777777778,63,True,0.09085425270289083,0.9759759759759761,0.5379532911707257,0.0,0.8055717068586807
-0.05,-0.2,0.02,-0.12,8,score,0.3906099999999999,-0.0912692863468979,0.7777777777777778,63,True,0.0912692863468979,0.9759759759759761,0.5292918171797684,0.004101394483686401,0.8012868383655606
-0.03,-0.2,0.0,-0.12,8,amount,0.763417,-0.13922539691425295,0.6712328767123288,73,True,0.13922539691425295,0.6016290262865607,1.0,0.47800737820352757,0.7450501348739188
-0.03,-0.2,0.0,-0.08,8,amount,0.6986920000000001,-0.12908223427607346,0.6794871794871795,78,True,0.12908223427607346,0.6306306306306307,0.9182778565503344,0.37777186262047324,0.7440090223482915
-0.03,-0.25,0.0,-0.08,8,amount,0.6986920000000001,-0.12908223427607346,0.6794871794871795,78,True,0.12908223427607346,0.6306306306306307,0.9182778565503344,0.37777186262047324,0.7440090223482915
-0.03,-0.25,0.0,-0.12,8,amount,0.7531220000000001,-0.137889810061136,0.6712328767123288,73,True,0.137889810061136,0.6016290262865607,0.9870014759858741,0.4648090059005714,0.7424903997288597
-0.03,-0.2,0.0,-0.12,8,score,0.72774,-0.13649764504260498,0.6666666666666666,72,True,0.13649764504260498,0.5855855855855855,0.9549540222193323,0.4510515238028384,0.7260055383613995
-0.03,-0.25,0.0,-0.12,8,score,0.69181,-0.12169077551803076,0.6527777777777778,72,True,0.12169077551803076,0.5367867867867868,0.9095886052375404,0.30472889703353206,0.7176043774030245
-0.03,-0.2,0.02,-0.12,8,amount,0.670261,-0.19069933647903448,0.7450980392156863,102,True,0.19069933647903448,0.861155272919979,0.8823807184983075,0.9866768194235778,0.700079032682599
-0.03,-0.25,0.02,-0.12,8,amount,0.657956,-0.19069933647903448,0.7450980392156863,102,True,0.19069933647903448,0.861155272919979,0.8668443573527201,0.9866768194235778,0.6938644882243641
-0.03,-0.2,0.02,-0.12,8,score,0.6125229999999999,-0.19057398673604398,0.7373737373737373,99,True,0.19057398673604398,0.834015834015834,0.8094803999429301,0.9854381035944968,0.6603108728646063
-0.03,-0.2,0.0,-0.08,8,score,0.5645899999999999,-0.11796346352702136,0.6493506493506493,77,True,0.11796346352702136,0.5247455247455247,0.7489599286880391,0.2678953124322717,0.6559031188869713
-0.03,-0.25,0.0,-0.08,8,score,0.5645899999999999,-0.11796346352702136,0.6493506493506493,77,True,0.11796346352702136,0.5247455247455247,0.7489599286880391,0.2678953124322717,0.6559031188869713
-0.03,-0.25,0.02,-0.12,8,score,0.593248,-0.19057398673604398,0.7373737373737373,99,True,0.19057398673604398,0.834015834015834,0.7851436781972013,0.9854381035944968,0.6505761841663148
-0.05,-0.25,0.02,-0.08,8,amount,0.358633,-0.12146114568153166,0.7205882352941176,68,True,0.12146114568153166,0.775039745627981,0.48891747988985024,0.302459677276757,0.6450909547517811
-0.05,-0.2,0.02,-0.08,8,amount,0.3526929999999999,-0.12537627052062594,0.7205882352941176,68,True,0.12537627052062594,0.775039745627981,0.48141760299389014,0.3411492429297309,0.6343530908628022
-0.03,-0.2,0.02,-0.08,8,amount,0.4878530000000001,-0.17620804765099574,0.7264957264957265,117,True,0.17620804765099574,0.7957957957957957,0.6520713675154323,0.8434727854397431,0.6104523082365426
-0.03,-0.25,0.02,-0.08,8,amount,0.4878530000000001,-0.17620804765099574,0.7264957264957265,117,True,0.17620804765099574,0.7957957957957957,0.6520713675154323,0.8434727854397431,0.6104523082365426
-0.03,-0.25,0.02,-0.12,5,amount,0.515728,-0.1324919071476368,0.6528925619834711,121,True,0.1324919071476368,0.5371900826446283,0.6872664968883085,0.41146651294228326,0.6074893292247181
-0.03,-0.2,0.02,-0.12,5,amount,0.515728,-0.1324919071476368,0.6528925619834711,121,True,0.1324919071476368,0.5371900826446283,0.6872664968883085,0.41146651294228326,0.6074893292247181
-0.03,-0.25,0.02,-0.08,5,amount,0.44243999999999994,-0.12281147754773236,0.648854961832061,131,True,0.12281147754773236,0.5230039199504848,0.5947326622164029,0.3158037609363628,0.5839338806794825
-0.03,-0.2,0.02,-0.08,5,amount,0.44243999999999994,-0.12281147754773236,0.648854961832061,131,True,0.12281147754773236,0.5230039199504848,0.5947326622164029,0.3158037609363628,0.5839338806794825
-0.05,-0.25,0.02,-0.08,8,score,0.27007500000000007,-0.12904261967690467,0.7164179104477612,67,True,0.12904261967690467,0.7603872529245662,0.37710365865206763,0.37738038809581625,0.5795202870114904
-0.05,-0.2,0.02,-0.08,8,score,0.2598149999999999,-0.13635363822678126,0.7164179104477612,67,True,0.13635363822678126,0.7603872529245662,0.3641493258317728,0.44962843734090674,0.5598889440343543
-0.03,-0.2,0.02,-0.08,8,score,0.37561,-0.17613599188694062,0.7155172413793104,116,True,0.17613599188694062,0.7572227399813608,0.5103527341091623,0.8427607248213312,0.538478044671943
-0.03,-0.25,0.02,-0.08,8,score,0.37561,-0.17613599188694062,0.7155172413793104,116,True,0.17613599188694062,0.7572227399813608,0.5103527341091623,0.8427607248213312,0.538478044671943
-0.03,-0.25,0.02,-0.12,5,score,0.45703000000000005,-0.14352136841691665,0.6293103448275862,116,True,0.14352136841691665,0.45433364398881637,0.6131540770164127,0.5204604999624911,0.5229029884095935
-0.03,-0.2,0.02,-0.12,5,score,0.45703000000000005,-0.14352136841691665,0.6293103448275862,116,True,0.14352136841691665,0.45433364398881637,0.6131540770164127,0.5204604999624911,0.5229029884095935
-0.05,-0.25,0.02,-0.12,5,amount,0.17154500000000006,-0.12471576734247702,0.647887323943662,71,True,0.12471576734247702,0.519604111153407,0.2526991349889459,0.33462209957536926,0.4419968785418673
-0.03,-0.2,0.02,-0.08,5,score,0.36707200000000006,-0.15504558391632306,0.6183206106870229,131,True,0.15504558391632306,0.41572106457602653,0.49957260802537334,0.6343436864476634,0.4392487317510273
-0.03,-0.25,0.02,-0.08,5,score,0.36707200000000006,-0.15504558391632306,0.6183206106870229,131,True,0.15504558391632306,0.41572106457602653,0.49957260802537334,0.6343436864476634,0.4392487317510273
-0.03,-0.25,0.0,-0.08,5,amount,0.4612099999999999,-0.12533432250946375,0.54,100,True,0.12533432250946375,0.14054054054054066,0.6184317681654213,0.34073470944776746,0.4354419815928313
-0.03,-0.2,0.0,-0.08,5,amount,0.4612099999999999,-0.12533432250946375,0.54,100,True,0.12533432250946375,0.14054054054054066,0.6184317681654213,0.34073470944776746,0.4354419815928313
-0.05,-0.2,0.02,-0.12,5,amount,0.16647499999999993,-0.1285779035532415,0.647887323943662,71,True,0.1285779035532415,0.519604111153407,0.24629772491108087,0.3727880275159117,0.43180312892261286
-0.03,-0.25,0.0,-0.08,5,score,0.39036099999999996,-0.12536190530540814,0.5408163265306123,98,True,0.12536190530540814,0.14340871483728643,0.5289774284007963,0.3410072847648881,0.40075300034225547
-0.03,-0.2,0.0,-0.08,5,score,0.39036099999999996,-0.12536190530540814,0.5408163265306123,98,True,0.12536190530540814,0.14340871483728643,0.5289774284007963,0.3410072847648881,0.40075300034225547
-0.05,-0.25,0.02,-0.12,5,score,0.11760499999999996,-0.1240583362910912,0.6338028169014085,71,True,0.1240583362910912,0.4701180053292731,0.18459419226704601,0.3281253152146489,0.3962598159955979
-0.05,-0.2,0.02,-0.12,5,score,0.1130850000000001,-0.12766347760545238,0.6338028169014085,71,True,0.12766347760545238,0.4701180053292731,0.17888721523510354,0.36375159976563987,0.3868517682726227
-0.05,-0.25,0.02,-0.08,5,amount,0.15535600000000005,-0.1490472155618453,0.6438356164383562,73,True,0.1490472155618453,0.5053683820807109,0.2322588139336097,0.57506734768474,0.38003740886878024
-0.05,-0.2,0.02,-0.08,5,amount,0.152196,-0.15142091378367495,0.6438356164383562,73,True,0.15142091378367495,0.5053683820807109,0.22826898043340194,0.5985244166080061,0.3737500616840439
-0.05,-0.25,0.02,-0.08,5,score,0.10067000000000004,-0.14701218790675663,0.6301369863013698,73,True,0.14701218790675663,0.4572380599777859,0.16321196748033176,0.5549570474253529,0.3371886014981765
-0.05,-0.25,0.0,-0.08,8,amount,0.2385029999999999,-0.12069160783721544,0.5434782608695652,46,True,0.12069160783721544,0.1527614571092831,0.3372406766050556,0.29485504494094417,0.3370298444975467
-0.05,-0.2,0.02,-0.08,5,score,0.09556000000000009,-0.15120892990967538,0.6301369863013698,73,True,0.15120892990967538,0.4572380599777859,0.15676005318094532,0.5964295756137722,0.32631333014073804
-0.03,-0.25,0.0,-0.12,5,amount,0.28312500000000007,-0.12566341379900703,0.5263157894736842,95,True,0.12566341379900703,0.09246088193456604,0.393580660923495,0.3439868149554815,0.3256192541521281
-0.03,-0.2,0.0,-0.12,5,amount,0.28312500000000007,-0.12566341379900703,0.5263157894736842,95,True,0.12566341379900703,0.09246088193456604,0.393580660923495,0.3439868149554815,0.3256192541521281
-0.05,-0.2,0.0,-0.12,8,score,0.17172199999999993,-0.15374400694627954,0.5853658536585366,41,True,0.15374400694627954,0.2999340804218852,0.2529226161691789,0.6214814024325904,0.29684639814990754
-0.05,-0.2,0.0,-0.12,8,amount,0.16996199999999995,-0.15374400694627954,0.5853658536585366,41,True,0.15374400694627954,0.2999340804218852,0.2507004304222278,0.6214814024325904,0.2959575238511271
-0.05,-0.25,0.0,-0.12,8,score,0.18150700000000008,-0.15374400694627954,0.5714285714285714,42,True,0.15374400694627954,0.25096525096525085,0.26527721135890453,0.6214814024325904,0.2822007044431441
-0.05,-0.25,0.0,-0.12,8,amount,0.18012699999999993,-0.15374400694627954,0.5714285714285714,42,True,0.15374400694627954,0.25096525096525085,0.2635348157164086,0.6214814024325904,0.2815037461861457
-0.03,-0.2,0.0,-0.12,5,score,0.1915849999999999,-0.12566341379900703,0.5054945054945055,91,True,0.12566341379900703,0.01930501930501924,0.2780017499712755,0.3439868149554815,0.2501253447194216
-0.03,-0.25,0.0,-0.12,5,score,0.1915849999999999,-0.12566341379900703,0.5054945054945055,91,True,0.12566341379900703,0.01930501930501924,0.2780017499712755,0.3439868149554815,0.2501253447194216
-0.05,-0.25,0.0,-0.08,5,score,0.061436000000000046,-0.13159947984395315,0.5370370370370371,54,True,0.13159947984395315,0.13013013013013033,0.11367490180085428,0.40264747748992635,0.2169925172744086
-0.05,-0.25,0.0,-0.08,8,score,0.12439500000000003,-0.14153200984918435,0.5227272727272727,44,True,0.14153200984918435,0.07985257985257979,0.19316728387034052,0.5008015051470434,0.20904764445975946
-0.05,-0.2,0.0,-0.12,5,score,0.0739129999999999,-0.1331097056389644,0.5272727272727272,55,True,0.1331097056389644,0.09582309582309566,0.1294284310989843,0.4175716452874518,0.20658628171134163
-0.05,-0.2,0.0,-0.12,5,amount,0.06031300000000006,-0.1331097056389644,0.5272727272727272,55,True,0.1331097056389644,0.09582309582309566,0.11225699578163492,0.4175716452874518,0.19971770758440188
-0.05,-0.25,0.0,-0.08,5,amount,0.058114,-0.13159947984395315,0.5178571428571429,56,True,0.13159947984395315,0.06274131274131291,0.10948052620348397,0.40264747748992635,0.1883592400799335
-0.05,-0.25,0.0,-0.12,5,amount,0.03772299999999995,-0.1331097056389644,0.5272727272727272,55,True,0.1331097056389644,0.09582309582309566,0.0837347366773019,0.4175716452874518,0.18830880394266866
-0.05,-0.2,0.0,-0.08,8,amount,0.1579029999999999,-0.17673617405772357,0.5434782608695652,46,True,0.17673617405772357,0.1527614571092831,0.23547467023899843,0.8486917713280432,0.18555609667370396
-0.05,-0.25,0.0,-0.12,5,score,0.027703000000000033,-0.13826282610771223,0.5185185185185185,54,True,0.13826282610771223,0.06506506506506497,0.07108342918613708,0.4684951792454201,0.1607603618513968
-0.05,-0.2,0.0,-0.08,5,amount,-0.028595999999999955,-0.14753292411405083,0.5,56,True,0.14753292411405083,0.0,0.0,0.5601030027928069,0.08797939944143862
-0.05,-0.2,0.0,-0.08,8,score,0.057395000000000085,-0.1920475530932595,0.5227272727272727,44,True,0.1920475530932595,0.07985257985257979,0.10857271282163303,1.0,0.07537011706968513
-0.05,-0.2,0.0,-0.08,5,score,-0.02788400000000002,-0.1714549236289188,0.5185185185185185,54,True,0.1714549236289188,0.06506506506506497,0.0008989751430846905,0.7965020472214911,0.06708520663896166
